"","year","state","race","TotalVictimsInStateByRace","Value","x"
"280",2020,"CA","A",5,5827300,0.0858030305630395
"281",2020,"CA","B",24,2125500,1.12914608327452
"282",2020,"CA","H",59,15714500,0.37544942568965
"283",2020,"CA","W",37,14335200,0.258105921089346
"284",2020,"CO","B",4,249300,1.60449257922182
"285",2020,"CO","H",9,1146100,0.785271791292208
"286",2020,"CO","N",1,NA,NA
"287",2020,"CO","O",1,91300,1.09529025191676
"288",2020,"CO","W",24,3927100,0.611137989865295
"289",2020,"CT","B",2,387300,0.516395558998193
"290",2020,"CT","H",2,626300,0.319335781574325
"291",2020,"CT","W",1,2226300,0.0449175762475857
"292",2020,"DC","B",1,311300,0.32123353678124
"293",2020,"DE","B",1,207400,0.482160077145612
"294",2020,"DE","H",1,95500,1.04712041884817
"295",2020,"FL","B",30,3319800,0.903668895716609
"296",2020,"FL","H",11,6007700,0.183098357108378
"297",2020,"FL","O",1,422700,0.236574402649633
"298",2020,"FL","W",39,11167500,0.349227669576897
"299",2020,"GA","B",23,3287400,0.699641053720265
"300",2020,"GA","H",2,1255600,0.159286396941701
"301",2020,"GA","W",11,5280100,0.20832938770099
"302",2020,"HI","A",2,516300,0.387371683129963
"303",2020,"IA","B",1,130500,0.766283524904214
"304",2020,"IA","W",5,2665500,0.18758206715438
"305",2020,"ID","A",1,25200,3.96825396825397
"306",2020,"ID","H",1,256900,0.389256520046711
"307",2020,"ID","W",4,1469100,0.272275542849364
"308",2020,"IL","B",7,1748100,0.400434757736972
"309",2020,"IL","H",3,2093700,0.143287003868749
"310",2020,"IL","W",3,7634800,0.039293760150888
"311",2020,"IN","B",7,655700,1.06756138477962
"312",2020,"IN","H",1,386100,0.259000259000259
"313",2020,"IN","W",15,5247000,0.28587764436821
"314",2020,"KS","H",2,336100,0.59506099375186
"315",2020,"KS","W",5,2153300,0.232201736868992
"316",2020,"KY","B",2,370000,0.540540540540541
"317",2020,"KY","W",14,3598500,0.389050993469501
"318",2020,"LA","B",11,1463700,0.751520120243219
"319",2020,"LA","H",1,295700,0.338180588434224
"320",2020,"LA","W",7,2605700,0.268641823694209
"321",2020,"MA","H",1,848900,0.117799505242078
"322",2020,"MA","W",5,4777500,0.10465724751439
"323",2020,"MD","A",1,532100,0.187934598759632
"324",2020,"MD","B",7,1837600,0.380931649978232
"325",2020,"MD","H",1,477700,0.209336403600586
"326",2020,"MD","W",5,2949600,0.169514510442094
"327",2020,"ME","W",4,1271800,0.314514860827174
"328",2020,"MI","B",6,1355200,0.442739079102715
"329",2020,"MI","W",9,7384600,0.121875253906779
"330",2020,"MN","B",1,376200,0.26581605528974
"331",2020,"MN","W",7,4320400,0.16202203499676
"332",2020,"MO","B",9,693500,1.29776496034607
"333",2020,"MO","W",10,4684900,0.213451727891737
"334",2020,"MS","B",3,1104800,0.271542360608255
"335",2020,"MS","W",6,1686900,0.355682020273875
"336",2020,"MT","N",1,NA,NA
"337",2020,"MT","W",8,975100,0.820428673982156
"338",2020,"NC","B",7,2234300,0.313297229557356
"339",2020,"NC","W",22,6181900,0.355877642795904
"340",2020,"ND","N",2,48700,4.10677618069815
"341",2020,"ND","W",1,621400,0.160926939169617
"342",2020,"NE","B",1,87100,1.14810562571757
"343",2020,"NE","H",1,255300,0.391696043869957
"344",2020,"NE","W",2,1497600,0.133547008547009
"345",2020,"NH","W",4,1215300,0.329136838640665
"346",2020,"NJ","B",5,1174700,0.425640589086575
"347",2020,"NJ","W",2,4734100,0.0422466783549143
"348",2020,"NM","B",1,40500,2.46913580246914
"349",2020,"NM","H",11,906800,1.21305690339656
"350",2020,"NM","W",2,832500,0.24024024024024
"351",2020,"NV","B",5,287100,1.7415534656914
"352",2020,"NV","H",4,890400,0.449236298292902
"353",2020,"NV","W",15,1589300,0.943811741018058
"354",2020,"NY","B",9,2575600,0.349433141792204
"355",2020,"NY","H",2,3595700,0.0556219929360069
"356",2020,"NY","W",7,10553000,0.0663318487633848
"357",2020,"OH","B",11,1446400,0.760508849557522
"358",2020,"OH","W",9,9036700,0.0995938782962807
"359",2020,"OK","B",4,268300,1.49086843086098
"360",2020,"OK","H",2,515600,0.387897595034911
"361",2020,"OK","N",3,346600,0.865551067512983
"362",2020,"OK","W",18,2393600,0.752005347593583
"363",2020,"OR","H",2,460000,0.434782608695652
"364",2020,"OR","W",10,3147000,0.317762948840165
"365",2020,"PA","A",1,415900,0.240442414041837
"366",2020,"PA","B",6,1359200,0.441436138905238
"367",2020,"PA","H",2,931100,0.214799699280421
"368",2020,"PA","W",7,9524100,0.0734977583183713
"369",2020,"SC","B",5,1315200,0.380170316301703
"370",2020,"SC","W",9,3222500,0.279286268425136
"371",2020,"TN","B",4,1119500,0.357302367128182
"372",2020,"TN","H",1,555900,0.179888469149128
"373",2020,"TN","W",19,4931600,0.385270500446103
"374",2020,"TX","A",1,1531200,0.0653082549634274
"375",2020,"TX","B",20,3514400,0.569087184156613
"376",2020,"TX","H",27,11474100,0.235312573535179
"377",2020,"TX","W",25,11988600,0.208531438199623
"378",2020,"UT","A",1,53500,1.86915887850467
"379",2020,"UT","B",1,32600,3.06748466257669
"380",2020,"UT","H",1,407300,0.245519273262951
"381",2020,"UT","W",12,2618100,0.458347656697605
"382",2020,"VA","B",4,1581100,0.252988425779521
"383",2020,"VA","H",1,845200,0.118315191670611
"384",2020,"VA","N",1,NA,NA
"385",2020,"VA","O",1,191500,0.522193211488251
"386",2020,"VA","W",7,5235700,0.133697499856753
"387",2020,"WA","A",2,782300,0.255656397801355
"388",2020,"WA","B",4,310100,1.28990648178007
"389",2020,"WA","H",4,1031200,0.387897595034911
"390",2020,"WA","W",14,4847600,0.288802706493935
"391",2020,"WI","B",5,293500,1.70357751277683
"392",2020,"WI","H",1,508900,0.196502259775987
"393",2020,"WI","W",10,4696800,0.212910918071879
"394",2020,"WV","W",4,1577300,0.253597920497052
"395",2020,"WY","W",1,459800,0.217485863418878
"396",2021,"AK","W",3,422800,0.709555345316935
"397",2021,"AL","B",6,1306000,0.459418070444104
"398",2021,"AL","H",1,276400,0.361794500723589
"399",2021,"AL","W",11,3215000,0.342146189735614
"400",2021,"AR","A",1,78600,1.27226463104326
"401",2021,"AR","W",8,2061900,0.387991658179349
"402",2021,"AZ","B",2,373000,0.536193029490617
"403",2021,"AZ","H",6,2611100,0.229788211864731
"404",2021,"AZ","W",11,3822500,0.287769784172662
"405",2021,"CA","A",1,5910100,0.0169201874756772
"406",2021,"CA","B",15,2082800,0.720184367198003
"407",2021,"CA","H",24,15777000,0.152120174938201
"408",2021,"CA","W",13,13821300,0.0940577225007778
"409",2021,"CO","B",1,239200,0.418060200668896
"410",2021,"CO","H",3,1172500,0.255863539445629
"411",2021,"CO","W",14,3938400,0.355474304286004
"412",2021,"CT","B",1,416300,0.240211386019697
"413",2021,"CT","H",1,664500,0.150489089541008
"414",2021,"DC","B",3,294500,1.01867572156197
"415",2021,"DC","W",1,253400,0.394632991318074
"416",2021,"DE","B",1,212900,0.469704086425552
"417",2021,"DE","W",1,590400,0.169376693766938
"418",2021,"FL","B",15,3351700,0.44753408717964
"419",2021,"FL","H",2,6167700,0.0324269987191335
"420",2021,"FL","W",19,11111300,0.170997093049418
"421",2021,"GA","B",14,3409600,0.410605349601126
"422",2021,"GA","H",2,1296600,0.154249575813666
"423",2021,"GA","W",11,5316300,0.206910821435961
"424",2021,"HI","A",1,555000,0.18018018018018
"425",2021,"HI","B",1,20600,4.85436893203884
"426",2021,"IA","B",1,131000,0.763358778625954
"427",2021,"IA","W",3,2729600,0.109906213364596
"428",2021,"ID","W",7,1532800,0.456680584551148
"429",2021,"IL","B",10,1683100,0.594141762224467
"430",2021,"IL","H",2,2154800,0.0928160386114721
"431",2021,"IL","W",5,7662300,0.0652545580308785
"432",2021,"IN","B",3,664900,0.451195668521582
"433",2021,"IN","W",9,5253900,0.171301319020156
"434",2021,"KS","B",2,168800,1.18483412322275
"435",2021,"KS","H",1,355500,0.281293952180028
"436",2021,"KS","W",3,2078400,0.144341801385681
"437",2021,"KY","B",3,354100,0.847218299915278
"438",2021,"KY","W",9,3612900,0.249107365274433
"439",2021,"LA","B",5,1447800,0.345351567896118
"440",2021,"LA","W",5,2595600,0.192633687779319
"441",2021,"MA","W",3,4772500,0.0628601361969618
"442",2021,"MD","B",10,1866800,0.535676023141204
"443",2021,"MD","W",4,3138900,0.127433177227691
"444",2021,"ME","W",2,1269100,0.157591994326688
"445",2021,"MI","B",5,1275200,0.392095357590966
"446",2021,"MI","W",9,7343200,0.122562370628609
"447",2021,"MN","B",3,407400,0.736377025036819
"448",2021,"MN","N",1,NA,NA
"449",2021,"MN","W",5,4118300,0.121409319379356
"450",2021,"MO","B",2,658400,0.303766707168894
"451",2021,"MO","W",14,4711700,0.297132669737038
"452",2021,"MS","B",9,1106400,0.813449023861171
"453",2021,"MS","W",3,1658600,0.18087543711564
"454",2021,"MT","W",1,975800,0.102480016396803
"455",2021,"NC","A",1,371100,0.269469145782808
"456",2021,"NC","B",6,2322800,0.258308937489237
"457",2021,"NC","N",1,NA,NA
"458",2021,"NC","W",13,6207800,0.209413963078707
"459",2021,"ND","N",1,32600,3.06748466257669
"460",2021,"NE","H",1,235100,0.425350914504466
"461",2021,"NE","W",7,1512000,0.462962962962963
"462",2021,"NH","W",1,1247300,0.0801731740559609
"463",2021,"NJ","B",4,1227900,0.325759426663409
"464",2021,"NM","H",11,917800,1.19851819568533
"465",2021,"NM","N",2,NA,NA
"466",2021,"NM","W",1,779200,0.128336755646817
"467",2021,"NV","W",2,1424800,0.140370578326783
"468",2021,"NY","B",2,2607300,0.0767077052889963
"469",2021,"NY","H",1,4e+06,0.025
"470",2021,"NY","W",5,10654700,0.0469276469539264
"471",2021,"OH","B",10,1340200,0.746157289956723
"472",2021,"OH","H",1,696800,0.143513203214696
"473",2021,"OH","W",7,9048800,0.0773583237556361
"474",2021,"OK","B",2,290700,0.687994496044032
"475",2021,"OK","H",1,497100,0.20116676725005
"476",2021,"OK","W",7,2407100,0.290806364505006
"477",2021,"OR","B",1,91200,1.09649122807018
"478",2021,"OR","H",1,458500,0.218102508178844
"479",2021,"OR","W",10,3312000,0.301932367149758
"480",2021,"PA","B",2,1447900,0.138131086400995
"481",2021,"PA","H",1,888600,0.112536574386676
"482",2021,"PA","W",13,9478200,0.137156844126522
"483",2021,"SC","B",3,1358400,0.220848056537102
"484",2021,"SC","W",8,3277800,0.244066141924462
"485",2021,"SD","N",2,49200,4.0650406504065
"486",2021,"TN","B",11,1100600,0.999454842813011
"487",2021,"TN","W",12,5087800,0.235858327764456
"488",2021,"TX","B",14,3633200,0.385335241660244
"489",2021,"TX","H",15,11366900,0.131962100484741
"490",2021,"TX","W",23,12063600,0.190656188865679
"491",2021,"UT","B",1,46400,2.1551724137931
"492",2021,"UT","H",3,465700,0.64419153961778
"493",2021,"UT","W",1,2581200,0.0387416705408337
"494",2021,"VA","B",6,1599700,0.375070325686066
"495",2021,"VA","W",9,5053800,0.17808381811706
"496",2021,"WA","B",2,306200,0.653167864141084
"497",2021,"WA","W",3,5125500,0.0585308750365818
"498",2021,"WI","B",2,286400,0.698324022346369
"499",2021,"WI","H",1,490500,0.203873598369011
"500",2021,"WI","W",4,4837900,0.0826805018706464
"501",2021,"WV","W",2,1597400,0.125203455615375
